지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
192,진주,2016-02-09,4.9,-2,2400,9.3,1344,,,,,,,11.5,320,532,5.6,270,236,2.5,2140,360,-14.1,11,1403,26.1,2.1,1017.8,1025.4,2345,1015.2,52,1021.5,10.7,9.9,1200,1.66,10.64,,,,,,,,3.4,-7.2,,,,,,,,,,,,,,
192,진주,2016-02-10,1.7,-6.2,713,12,1451,,,,,,,4.7,250,1524,3.1,250,1526,.7,643,50,-10.4,10,1623,47.5,2.9,1023.2,1029,2251,1025.2,1501,1027.1,10.7,9.9,1200,1.63,10.79,,,,,,,,3.4,-10.4,,,,,,,,,,,,,,
192,진주,2016-02-11,6.1,-3,259,14.4,1515,,,,,,,5.8,90,1853,3.7,110,1855,1,832,110,-2.3,35,1358,57.1,5.4,1023.5,1029.9,841,1024.9,1606,1027.2,10.8,6.8,1300,1.15,7.44,,,,,,,,5.6,-6.1,,,,,,,,,,,,7.6,,
192,진주,2016-02-12,9.2,5.8,353,14.4,1941,,,,,,62.8,7.4,160,1948,3.1,180,1920,1.1,915,320,7.2,71,6,88,10.3,1016.2,1025.4,1,1016.4,2352,1019.9,10.8,0,1300,.09,.4,,,,,,,,7.9,4.5,,,,,,,,,,,,57,,
192,진주,2016-02-13,12,9.3,656,15.3,2126,,,,,,9.9,7.8,270,2130,4,230,2351,.8,728,270,10.4,84,2346,90.5,12.7,1005,1016.4,1,1001.7,2334,1008.6,10.8,0,1100,.43,1.7,,,,,,,,10.9,9.2,,,,,,,,,,,,8.1,,
192,진주,2016-02-14,4.1,-1.8,2350,14.6,55,,,,,,,9.6,320,1908,5.8,250,105,2.5,2200,250,-4.8,34,1529,53.6,4.7,1008.7,1019.1,2400,1001.6,3,1012.4,10.9,2.6,1400,1.31,4.94,,,,,,,,7.3,-3.6,,,,,,,,,,,,,,
192,진주,2016-02-15,-1.5,-4.4,744,2.3,1421,,,,,,,9.9,320,1453,4.7,320,1528,1.8,1576,20,-14.8,18,1408,38.4,2,1016.5,1021.7,2342,1018.3,1422,1020.4,10.9,10.1,1200,1.76,11.6,,,,,,,,2.5,-7,,,,,,,,,,,,,,
192,진주,2016-02-16,.2,-6.3,433,5.4,1232,,,,,,,12.8,270,1309,7.3,250,1315,1.8,1546,250,-7.2,30,1235,59.6,3.6,1015.8,1021.5,1,1016.6,1758,1019.7,10.9,6.5,1200,1.64,8.43,,,,,,,,2.2,-9.5,,,,,,,,,,,,,,
192,진주,2016-02-17,1.7,-3.4,2357,8.1,1514,,,,,,,7.9,360,1028,3.4,360,1035,1.1,976,70,-9.2,18,1326,49.8,3.2,1020.9,1026.7,2231,1021.4,1,1024.7,11,10.3,1200,1.76,11.67,,,,,,,,3.8,-8,,,,,,,,,,,,,,
192,진주,2016-02-18,2.3,-6.1,632,10.3,1447,,,,,,,7.9,250,1610,3.8,140,1431,1.1,909,70,-5,32,1547,61.8,4.2,1020.6,1026.3,1,1021.7,1436,1024.4,11,9.9,1200,1.52,10.44,,,,,,,,3.6,-10.3,,,,,,,,,,,,,,
192,진주,2016-02-19,5,-2.7,702,13.7,1524,,,,,,,6.8,140,1616,3.3,140,1619,.9,738,270,-3.6,19,1333,58.9,4.7,1022.4,1028.5,833,1024.6,1617,1026.2,11,6.8,1100,1.48,8.2,,,,,,,,5,-6.6,,,,,,,,,,,,,,
192,진주,2016-02-20,6,1.8,748,12.7,1355,,,,,,,9,320,1849,4.7,340,2218,1.8,1574,320,-7.4,15,1451,42.9,3.8,1017.2,1025.9,11,1015.7,1441,1021,11.1,5.6,1300,1.33,7.37,,,,,,,,6.4,-1.1,,,,,,,,,,,,,,
192,진주,2016-02-21,2.1,-3.6,602,8.2,1550,,,,,,,7.7,340,130,4.5,340,132,1.3,1093,270,-12.4,17,1451,35.8,2.4,1026,1032.8,2347,1024.1,1,1029.8,11.1,10.1,1200,1.8,11.88,,,,,,,,4.1,-8.7,,,,,,,,,,,,,,
192,진주,2016-02-22,3.4,-2,26,7,1431,,,,,,,3.5,340,1352,2.2,90,1102,.7,618,290,-7.6,27,1515,45.5,3.5,1026.3,1033.5,122,1027.9,1708,1030.2,11.2,.2,1300,.86,4.89,,,,,,,,4.8,-5.7,,,,,,,,,,,,,,
192,진주,2016-02-23,5.5,-.1,730,11.9,1341,,,,,,,8.1,340,2142,4,340,1108,1.8,1514,340,-8.4,17,1400,39.5,3.4,1024.1,1029.7,2133,1025.1,1407,1027.9,11.2,8,1100,1.49,9.6,,,,,,,,6.7,-3.7,,,,,,,,,,,,,,
192,진주,2016-02-24,1.4,-4,721,7.1,1502,,,,,,,7.7,340,19,4,340,20,1.6,1417,20,-15.2,12,1557,29.9,1.9,1027.7,1033.4,2324,1028.9,1541,1031.5,11.2,10.4,1100,1.73,11.79,,,,,,,,4.3,-8.5,,,,,,,,,,,,,,
